"Date","Reference","Ticker","Type","Quantity","Price/share","Gross Amount","CCY","FX Rate","Fee","Net Amt.","Tax Amt."
"20/12/2021 14:44:38","DJQAHC5DXA","EUR","Conversion","","","-330.00","EUR","1.12970","","-330.00",""
"20/12/2021 09:53:06","LPIKSLDV3A","USD","Conversion","","","22.50","USD","0.88873","","22.50",""
"20/12/2021 09:53:06","LPIKSLDV3A","EUR","Conversion","","","-20.00","EUR","1.12520","","-20.00",""
"18/12/2021 08:00:17","VYFWBDRIJ8","KHC","Dividend","","","0.80","USD","","","0.68","0.12"
"17/12/2021 17:28:20","49IQCFUJSI","BMO","Buy","0.500000000","104.45","52.22","USD","","","52.22",""
"17/12/2021 17:08:48","TEQRB8KKXD","USD","Conversion","","","56.38","USD","0.88684","","56.38",""
"17/12/2021 17:08:48","TEQRB8KKXD","EUR","Conversion","","","-50.00","EUR","1.12760","","-50.00",""
"17/12/2021 15:22:33","UY0TWQOQB4","FRT","Buy","0.300000000","127.68","38.30","USD","","","38.30",""
"17/12/2021 15:22:06","08H9ZA1VJT","FITB","Buy","0.500000000","42.13","21.06","USD","","","21.06",""
"17/12/2021 15:21:00","TGNBBHTHWA","KMI","Buy","1.000000000","15.51","15.51","USD","","","15.51",""
"17/12/2021 15:20:02","54HWNES7OM","JPM","Buy","0.330000000","155.63","51.36","USD","","","51.36",""
"17/12/2021 15:18:12","SJXEXNELMX","BNS","Buy","0.600000000","67.56","40.54","USD","","","40.54",""
"17/12/2021 15:17:53","IVIAJJT7O0","USD","Conversion","","","159.34","USD","0.88472","","159.34",""
"17/12/2021 15:17:53","IVIAJJT7O0","EUR","Conversion","","","-140.98","EUR","1.13030","","-140.98",""
"17/12/2021 14:08:04","","USD","Balance adjustment","","","-0.39","","","","",""
"17/12/2021 07:55:43","1AA5M6QQSX","DUK","Dividend","","","0.49","USD","","","0.42","0.07"
"17/12/2021 07:55:42","DLKY2LXJFT","PRU","Dividend","","","0.58","USD","","","0.50","0.08"
"16/12/2021 17:23:15","6RQL9ATCY2","TSLA","Buy","0.002127682","939.99","2.00","USD","","","2.00",""
"16/12/2021 14:30:48","QFLGR7AAHI","MDT","Buy","0.500000000","103.39","51.70","USD","","","51.70",""
"16/12/2021 08:24:18","6AR5LKI4CH","O","Dividend","","","1.15","USD","","","0.98","0.17"
"16/12/2021 08:24:17","CXWSTA5CPM","ED","Dividend","","","0.05","USD","","","0.05",""
"16/12/2021 08:24:17","ZHTHBHHIXJ","MAIN","Dividend","","","0.85","USD","","","0.73","0.12"
"16/12/2021 08:24:17","L0NBCCLF8D","STAG","Dividend","","","0.73","USD","","","0.63","0.10"
"16/12/2021 08:24:16","VFZUFUB9XL","KO","Dividend","","","0.92","USD","","","0.79","0.13"
"16/12/2021 08:24:16","V7GR7F7B3M","MCD","Dividend","","","0.69","USD","","","0.59","0.10"
"16/12/2021 08:24:16","K4YAGGNCNY","PBA","Dividend","","","0.77","USD","","","0.66","0.11"
"16/12/2021 08:24:16","WKWVMEHZ9F","HSY","Dividend","","","0.30","USD","","","0.26","0.04"
"16/12/2021 08:24:16","ERSKRM9RR9","K","Dividend","","","0.29","USD","","","0.25","0.04"
"16/12/2021 07:56:48","E4PT81DGHQ","USD","Conversion","","","56.56","USD","0.88394","","56.56",""
"16/12/2021 07:56:48","E4PT81DGHQ","EUR","Conversion","","","-50.00","EUR","1.13130","","-50.00",""
"16/12/2021 07:28:48","A9SE13DVUN","","Deposit","","","590.98","EUR","","","590.98",""
"15/12/2021 13:48:54","","USD","Balance adjustment","","","0.82","","","","",""
"15/12/2021 08:38:45","","USD","Balance adjustment","","","-0.82","","","","",""
"15/12/2021 07:47:14","V1SLBW0UKE","MET","Dividend","","","0.96","USD","","","0.82","0.14"
"14/12/2021 17:47:23","9OTGXBVEJP","BLK","Buy","0.001172228","895.73","1.05","USD","","","1.05",""
"14/12/2021 08:28:53","","USD","Balance adjustment","","","0.52","","","","",""
"14/12/2021 08:05:26","FTUXMKGFQW","XOM","Dividend","","","0.88","USD","","","0.75","0.13"
"14/12/2021 08:05:26","B1KBTZJVBD","MMM","Dividend","","","0.96","USD","","","0.82","0.14"
"13/12/2021 15:19:29","UN3UWGDSIJ","BLK","Buy","0.004134020","924.04","3.82","USD","","","3.82",""
"11/12/2021 07:53:55","0W9LTTR6KE","CVX","Dividend","","","1.35","USD","","","1.15","0.20"
"11/12/2021 07:53:54","RQSLYFLC4I","IBM","Dividend","","","0.82","USD","","","0.70","0.12"
"11/12/2021 07:53:54","TKLLTBOCPG","WBA","Dividend","","","0.97","USD","","","0.83","0.14"
"11/12/2021 07:53:54","5PYJH8GVXK","AEP","Dividend","","","0.39","USD","","","0.34","0.05"
"11/12/2021 07:53:54","TRVMZWJLED","TGT","Dividend","","","0.23","USD","","","0.20","0.03"
"11/12/2021 07:53:54","APUDE9ZUB4","DOW","Dividend","","","0.70","USD","","","0.60","0.10"
"10/12/2021 17:02:21","ZOCEQNQW6Z","KMI","Buy","1.452275964","16.03","23.28","USD","","","23.28",""
"10/12/2021 17:02:11","T2LYVWJVTZ","PBA","Buy","0.679694137","29.43","20.00","USD","","","20.00",""
"10/12/2021 17:00:19","KGTWQST9F6","MA","Sell","0.121620030","349.86","42.55","USD","","","42.55",""
"10/12/2021 08:16:53","UNRNZVJBLA","VLO","Dividend","","","0.49","USD","","","0.42","0.07"
"10/12/2021 08:16:52","8U2RUGFNII","AGNC","Dividend","","","0.36","USD","","","0.31","0.05"
"09/12/2021 17:42:59","TSVEEURATW","RIVN","Buy","0.024277163","118.63","2.88","USD","","","2.88",""
"09/12/2021 17:42:43","5V5IFIFCVL","USD","Conversion","","","1.98","USD","0.88550","","1.98",""
"09/12/2021 17:42:43","5V5IFIFCVL","EUR","Conversion","","","-1.76","EUR","1.12930","","-1.76",""
"09/12/2021 17:42:34","O61IRSKQ9U","EUR","Conversion","","","0.88","EUR","1.12891","","0.88",""
"09/12/2021 17:42:34","O61IRSKQ9U","USD","Conversion","","","-1.00","USD","0.88581","","-1.00",""
"09/12/2021 17:42:22","HC7FYJ1BOV","RIVN","Sell","0.008426019","118.68","1.00","USD","","","1.00",""
"09/12/2021 08:12:46","XOYA2KPRTQ","SBUX","Dividend","","","0.49","USD","","","0.42","0.07"
"09/12/2021 08:12:46","ZT5T77EDNR","ADM","Dividend","","","0.56","USD","","","0.48","0.08"
"08/12/2021 14:36:58","LA5IG5ADKC","BLK","Buy","0.002638921","924.62","2.44","USD","","","2.44",""
"08/12/2021 08:33:59","YW3LJGV9M4","INTC","Dividend","","","1.06","USD","","","0.91","0.15"
"08/12/2021 08:33:58","YVJ3TNGXNM","JNJ","Dividend","","","1.06","USD","","","0.91","0.15"
"07/12/2021 20:17:40","ZRAUZWICRR","BTI","Buy","0.500000000","35.17","17.58","USD","","","17.58",""
"07/12/2021 20:17:08","17PCUB41TJ","RIVN","Buy","0.008713078","114.77","1.00","USD","","","1.00",""
"07/12/2021 20:16:55","JLKEZ754FJ","LCID","Buy","0.023044129","43.40","1.00","USD","","","1.00",""
"07/12/2021 20:16:16","NVBXZIVFWE","DLR","Buy","0.250000000","167.15","41.79","USD","","","41.79",""
"07/12/2021 20:15:49","GYHQF7MES6","VZ","Buy","0.510000000","50.86","25.94","USD","","","25.94",""
"07/12/2021 17:03:25","MDJVEJJSEO","MRK","Buy","0.500000000","72.05","36.02","USD","","","36.02",""
"07/12/2021 15:23:40","Z1OZIAMV2H","PGR","Sell","0.164017131","96.97","15.90","USD","","","15.90",""
"07/12/2021 15:22:14","9PWQEEGH6Y","V","Sell","0.247069887","206.62","51.05","USD","","","51.05",""
"07/12/2021 12:52:28","","USD","Balance adjustment","","","0.35","","","","",""
"07/12/2021 08:05:58","QCTCGCCXVV","LYB","Dividend","","","0.48","USD","","","0.41","0.07"
"07/12/2021 08:05:58","TJKD0AKHJG","PFE","Dividend","","","1.18","USD","","","1.01","0.17"
"07/12/2021 08:05:56","AUSBUHLKDA","SO","Dividend","","","0.33","USD","","","0.29","0.04"
"06/12/2021 20:59:28","4TKBNSFODF","DTE","Sell","0.043855802","114.35","5.01","USD","","","5.01",""
"06/12/2021 20:57:09","OS1P9LFMSY","ED","Sell","0.068068886","81.54","5.55","USD","","","5.55",""
"06/12/2021 20:53:20","F1IKFVAPAN","GD","Sell","0.050424357","199.76","10.07","USD","","","10.07",""
"06/12/2021 19:25:54","WSRLC2R7CI","ASML","Buy","0.002639253","757.79","2.00","USD","","","2.00",""
"06/12/2021 19:25:37","14EQNTWFWQ","TSLA","Buy","0.001967216","1016.67","2.00","USD","","","2.00",""
"06/12/2021 19:25:23","D2LDFCLFVD","LCID","Buy","0.044048012","45.41","2.00","USD","","","2.00",""
"06/12/2021 19:25:11","ZNB6FYY0OD","RIVN","Buy","0.017842804","112.09","2.00","USD","","","2.00",""
"06/12/2021 14:32:20","QGENAAUWPH","T","Buy","2.000000000","23.63","47.26","USD","","","47.26",""
"06/12/2021 14:31:15","WWAXX0KDAK","JPM","Buy","0.270000000","161.01","43.47","USD","","","43.47",""
"06/12/2021 14:30:10","LCQ0CNYK95","AMGN","Buy","0.330000000","206.38","68.11","USD","","","68.11",""
"06/12/2021 08:54:27","FNIPBZTYQY","EUR","Conversion","","","0.88","EUR","1.12891","","0.88",""
"06/12/2021 08:54:27","FNIPBZTYQY","USD","Conversion","","","-1.00","USD","0.88581","","-1.00",""
"05/12/2021 20:00:11","QPFBJRJBKX","USD","Conversion","","","84.96","USD","0.88269","","84.96",""
"05/12/2021 20:00:11","QPFBJRJBKX","EUR","Conversion","","","-75.00","EUR","1.13290","","-75.00",""
"05/12/2021 19:40:12","O07BHNE1GR","USD","Conversion","","","56.64","USD","0.88269","","56.64",""
"05/12/2021 19:40:12","O07BHNE1GR","EUR","Conversion","","","-50.00","EUR","1.13290","","-50.00",""
"05/12/2021 19:15:11","K9CUDFVDSB","USD","Conversion","","","56.64","USD","0.88269","","56.64",""
"05/12/2021 19:15:11","K9CUDFVDSB","EUR","Conversion","","","-50.00","EUR","1.13290","","-50.00",""
"04/12/2021 07:35:35","QZENJFWRLQ","ENB","Dividend","","","0.52","USD","","","0.52","0.00"
"03/12/2021 16:43:57","HB38BTJZCT","TSLA","Buy","0.001964675","1017.98","2.00","USD","","","2.00",""
"03/12/2021 16:43:46","LISKFO5DFX","USD","Conversion","","","4.78","USD","0.88456","","4.78",""
"03/12/2021 16:43:46","LISKFO5DFX","EUR","Conversion","","","-4.23","EUR","1.13050","","-4.23",""
"03/12/2021 07:37:31","X9TC8QU4EL","CMI","Dividend","","","0.73","USD","","","0.63","0.10"
"02/12/2021 18:23:18","TKGFSPR38C","BLK","Buy","0.002244901","917.64","2.06","USD","","","2.06",""
"02/12/2021 18:22:57","7S5ROJ90CS","USD","Conversion","","","1.13","USD","0.88488","","1.13",""
"02/12/2021 18:22:57","7S5ROJ90CS","EUR","Conversion","","","-1.00","EUR","1.13010","","-1.00",""
"02/12/2021 18:22:45","TBNDIWDFHN","LCID","Buy","0.021021652","47.57","1.00","USD","","","1.00",""
"02/12/2021 18:22:30","8WEVVLUBHP","TSLA","Buy","0.000929838","1075.46","1.00","USD","","","1.00",""
"02/12/2021 18:22:14","M5KWIFY5D9","ASML","Buy","0.001270510","787.09","1.00","USD","","","1.00",""
"02/12/2021 07:46:21","BHGX1RFHUT","SJM","Dividend","","","0.99","USD","","","0.85","0.14"
"02/12/2021 07:46:21","VWB4FNI9ZC","ENB","Dividend","","","0.54","USD","","","0.46","0.08"
"02/12/2021 07:46:20","YBOWRFDRUA","F","Dividend","","","0.02","USD","","","0.02",""
"02/12/2021 07:46:20","VHWHLEAPJG","PSX","Dividend","","","0.93","USD","","","0.80","0.13"
"02/12/2021 07:46:20","ZHBSXVEGWY","CAG","Dividend","","","0.31","USD","","","0.27","0.04"
"02/12/2021 07:46:20","M7CIQPHMEO","FE","Dividend","","","1.17","USD","","","1.00","0.17"
"02/12/2021 07:46:19","OTFWGXFCFC","COP","Dividend","","","0.46","USD","","","0.40","0.06"
"01/12/2021 20:01:35","A645GOLTEH","ASML","Buy","0.001218910","820.41","1.00","USD","","","1.00",""
"01/12/2021 19:41:42","QJNIYEJTLS","USD","Conversion","","","1.13","USD","0.88331","","1.13",""
"01/12/2021 19:41:42","QJNIYEJTLS","EUR","Conversion","","","-1.00","EUR","1.13210","","-1.00",""
"01/12/2021 17:42:07","NMJJWVNCGT","BLK","Buy","0.004367640","922.70","4.03","USD","","","4.03",""
"01/12/2021 17:41:55","F76AES6U7I","TSLA","Buy","0.000867554","1152.67","1.00","USD","","","1.00",""
"01/12/2021 17:41:43","UHTPTYTQOM","SPCE","Buy","0.064246707","15.57","1.00","USD","","","1.00",""
"01/12/2021 17:41:27","I7PAV231NA","LCID","Buy","0.017905102","55.85","1.00","USD","","","1.00",""
"01/12/2021 17:40:16","A1BXKAJDCM","MAIN","Buy","1.000000000","44.75","44.75","USD","","","44.75",""
"01/12/2021 14:55:25","ZH98OFETGR","SPG","Sell","0.330000000","156.91","51.78","USD","","","51.78",""
"30/11/2021 18:47:56","JC5PNT7DAC","SPG","Buy","0.326765349","153.02","50.00","USD","","","50.00",""
"30/11/2021 18:47:45","67ZOGRHWWL","USD","Conversion","","","50.00","USD","0.88394","","50.00",""
"30/11/2021 18:47:45","67ZOGRHWWL","EUR","Conversion","","","-44.19","EUR","1.13130","","-44.19",""
"30/11/2021 16:34:08","SKRLCJCYKU","EUR","Conversion","","","25.42","EUR","1.12731","","25.42",""
"30/11/2021 16:34:08","SKRLCJCYKU","USD","Conversion","","","-28.66","USD","0.88707","","-28.66",""
"30/11/2021 16:05:33","C7QXMFRRIQ","ASML","Buy","0.001567614","797.39","1.25","USD","","","1.25",""
"30/11/2021 16:04:31","QMRMISPZD8","O","Buy","2.000000000","68.67","137.33","USD","","","137.33",""
"30/11/2021 16:04:19","NTLRI9UFY4","STAG","Buy","1.000000000","43.26","43.26","USD","","","43.26",""
"30/11/2021 16:04:07","ZLXLBKBTIA","VICI","Buy","1.000000000","27.48","27.48","USD","","","27.48",""
"30/11/2021 16:03:51","XIRKC4A02K","STOR","Buy","2.000000000","33.04","66.08","USD","","","66.08",""
"30/11/2021 16:03:35","V2LV0XJQ1E","CUBE","Buy","0.810000000","54.06","43.78","USD","","","43.78",""
"30/11/2021 16:03:13","4MQPFBXOXO","SYY","Buy","0.880000000","71.06","62.53","USD","","","62.53",""
"30/11/2021 16:02:59","SFVYZ9LMIU","USD","Conversion","","","337.53","USD","0.88881","","337.53",""
"30/11/2021 16:02:59","SFVYZ9LMIU","EUR","Conversion","","","-300.00","EUR","1.12510","","-300.00",""
"30/11/2021 16:02:48","XCIBLKTNUW","BMY","Buy","2.000000000","53.57","107.14","USD","","","107.14",""
"30/11/2021 16:02:19","A3FJPG5SE2","MDLZ","Buy","0.710000000","59.53","42.26","USD","","","42.26",""
"30/11/2021 16:02:03","GLA2SW0RD3","FITB","Buy","1.000000000","42.28","42.28","USD","","","42.28",""
"30/11/2021 16:01:49","PFECRFXAZJ","MRK","Buy","0.500000000","74.01","37.01","USD","","","37.01",""
"30/11/2021 16:01:28","7FQRIGSFPU","SRE","Buy","0.370000000","121.42","44.93","USD","","","44.93",""
"30/11/2021 16:01:07","7FV29KG68A","CCI","Buy","0.270000000","183.60","49.57","USD","","","49.57",""
"30/11/2021 16:00:21","8NLCC2CYQ6","DLR","Buy","0.250000000","168.73","42.18","USD","","","42.18",""
"30/11/2021 15:59:59","DNVAEDECKW","GILD","Buy","0.860000000","70.10","60.28","USD","","","60.28",""
"30/11/2021 15:59:29","TMTZUNDHJU","KMB","Buy","0.350000000","133.06","46.57","USD","","","46.57",""
"30/11/2021 15:59:13","EKIOALX8SB","HPQ","Buy","0.470000000","35.55","16.71","USD","","","16.71",""
"30/11/2021 15:58:56","NUASCQ5XLK","USD","Conversion","","","561.77","USD","0.88826","","561.77",""
"30/11/2021 15:58:56","NUASCQ5XLK","EUR","Conversion","","","-499.00","EUR","1.12580","","-499.00",""
"30/11/2021 15:55:49","JXVQMP1O7X","TSLA","Buy","0.001543744","1140.09","1.76","USD","","","1.76",""
"30/11/2021 15:49:04","QECGMUXGG2","USD","Conversion","","","1.13","USD","0.87920","","1.13",""
"30/11/2021 15:49:04","QECGMUXGG2","EUR","Conversion","","","-1.00","EUR","1.13740","","-1.00",""
"30/11/2021 07:45:19","OGTNKQ0YS8","RY","Dividend","","","0.73","USD","","","0.63","0.10"
"29/11/2021 15:43:52","ZUBXRDGBW1","O","Buy","0.083303411","69.63","5.80","USD","","","5.80",""
"29/11/2021 15:43:42","MXYEGN12AA","ASML","Buy","0.001264270","790.97","1.00","USD","","","1.00",""
"29/11/2021 15:43:31","NQUO2OQ5QN","LCID","Buy","0.019288263","51.85","1.00","USD","","","1.00",""
"29/11/2021 15:43:17","ESVPSAHCDX","RIVN","Buy","0.008782329","113.87","1.00","USD","","","1.00",""
"29/11/2021 09:31:48","","USD","Balance adjustment","","","0.01","","","","",""
"29/11/2021 07:27:37","KJ6WMME8NX","","Deposit","","","1000.00","EUR","","","1000.00",""
"27/11/2021 07:46:35","P9YLX6SWLF","BMO","Dividend","","","1.07","USD","","","0.91","0.16"
"27/11/2021 07:46:35","N4QTDE24E8","ORC","Dividend","","","0.20","USD","","","0.17","0.03"
"26/11/2021 14:42:12","JPO3X8TDL1","MAIN","Buy","0.460000000","45.32","20.85","USD","","","20.85",""
"26/11/2021 14:41:15","7MKZEEUXTB","MPW","Buy","1.000000000","21.71","21.71","USD","","","21.71",""
"26/11/2021 14:40:19","JNWYER81OX","AQN","Buy","0.080000000","13.78","1.10","USD","","","1.10",""
"26/11/2021 14:39:52","6UE9ZVX9WJ","ITW","Buy","0.130000000","239.51","31.14","USD","","","31.14",""
"26/11/2021 14:39:20","E3EDZ8GEYH","EIX","Buy","0.330000000","65.38","21.57","USD","","","21.57",""
"26/11/2021 14:38:45","GIHEH81GBS","BEN","Buy","1.500000000","33.24","49.87","USD","","","49.87",""
"26/11/2021 14:38:19","P96HK8JACH","OMC","Buy","0.750000000","66.45","49.83","USD","","","49.83",""
"26/11/2021 14:37:43","NWXLWQW9BH","SPG","Buy","0.330000000","162.40","53.59","USD","","","53.59",""
"26/11/2021 14:37:16","O0IEIBVF2W","VFC","Buy","0.710000000","71.56","50.81","USD","","","50.81",""
"26/11/2021 14:36:58","NWKGNCASF4","USD","Conversion","","","282.15","USD","0.88605","","282.15",""
"26/11/2021 14:36:58","NWKGNCASF4","EUR","Conversion","","","-250.00","EUR","1.12860","","-250.00",""
"25/11/2021 07:34:56","OROXMCU4U9","RY","Dividend","","","0.73","USD","","","0.63","0.10"
"24/11/2021 16:26:03","QQAQQQJXDY","","Deposit","","","250.00","EUR","","","250.00",""
"24/11/2021 16:21:23","FJCRVIJUNG","VALE","Sell","2.000000000","12.70","25.40","USD","","","25.40",""
"24/11/2021 08:15:07","","USD","Balance adjustment","","","-0.01","","","","",""
"23/11/2021 19:27:30","GG1FHGLA2K","AQN","Buy","1.926657212","13.90","26.77","USD","","","26.77",""
"23/11/2021 19:24:33","RX3T9WANTL","MDT","Buy","0.390000000","113.45","44.24","USD","","","44.24",""
"23/11/2021 16:38:09","TRXP01HRJZ","TXN","Buy","0.040000000","191.61","7.66","USD","","","7.66",""
"23/11/2021 16:01:11","9SI0NNJEXD","ASML","Buy","0.002517243","794.52","2.00","USD","","","2.00",""
"23/11/2021 16:00:33","N8OMR9X9NH","TSLA","Buy","0.000894426","1118.04","1.00","USD","","","1.00",""
"23/11/2021 15:59:40","QCQNV9LD6W","RIVN","Buy","0.008769237","114.04","1.00","USD","","","1.00",""
"23/11/2021 15:59:29","JVRPZ35XWL","LCID","Buy","0.019577133","51.08","1.00","USD","","","1.00",""
"22/11/2021 19:54:12","LNURT1RJFE","AMT","Buy","0.250000000","258.34","64.59","USD","","","64.59",""
"22/11/2021 19:53:04","7SJYMSFIJ3","VTR","Buy","0.500000000","50.74","25.37","USD","","","25.37",""
"22/11/2021 19:52:02","TLAZOJELKK","V","Buy","0.050837548","196.71","10.00","USD","","","10.00",""
"22/11/2021 18:04:26","VD1KAYBF6N","ASML","Buy","0.001196945","835.46","1.00","USD","","","1.00",""
"22/11/2021 18:00:22","RZ3ZRTMD6E","ATVI","Buy","0.150000000","61.19","9.18","USD","","","9.18",""
"22/11/2021 17:41:05","WOK09EVXT1","MAIN","Buy","1.000000000","46.77","46.77","USD","","","46.77",""
"22/11/2021 17:40:22","EV8SXJNFE4","CSCO","Sell","1.007995328","55.04","55.48","USD","","","55.48",""
"22/11/2021 17:39:05","RWIJLPDH19","ENB","Buy","0.060000000","39.58","2.37","USD","","","2.37",""
"22/11/2021 17:38:28","SGHWOK4OC5","TROW","Buy","0.180000000","208.96","37.61","USD","","","37.61",""
"22/11/2021 17:37:56","GVUNXWESQR","BEN","Buy","0.840000000","34.65","29.10","USD","","","29.10",""
"22/11/2021 17:36:42","BYGAQ3VS9O","AVGO","Buy","0.080000000","559.20","44.74","USD","","","44.74",""
"22/11/2021 17:36:08","VOOP2PWM5K","MA","Buy","0.061963627","322.77","20.00","USD","","","20.00",""
"22/11/2021 16:44:56","VUTDA1ASLL","LCID","Buy","0.019533157","51.20","1.00","USD","","","1.00",""
"22/11/2021 16:40:51","ZXLN6WQ3FZ","TSLA","Buy","0.000841403","1188.49","1.00","USD","","","1.00",""
"22/11/2021 15:05:42","PE8AX35QGY","RIVN","Buy","0.008078849","123.78","1.00","USD","","","1.00",""
"22/11/2021 15:05:30","P3OBAPRNTO","ASML","Buy","0.001166922","856.96","1.00","USD","","","1.00",""
"22/11/2021 14:31:38","XQSEVBIWLI","PEP","Buy","0.410000000","163.18","66.90","USD","","","66.90",""
"22/11/2021 14:30:02","E03PD5ADKR","ALL","Buy","0.500000000","112.25","56.13","USD","","","56.13",""
"22/11/2021 05:21:34","YQG8AB9OJ0","USD","Conversion","","","445.48","USD","0.88668","","445.48",""
"22/11/2021 05:21:34","YQG8AB9OJ0","EUR","Conversion","","","-395.00","EUR","1.12780","","-395.00",""
"20/11/2021 07:32:02","ZX5EOANRJK","CAT","Dividend","","","0.56","USD","","","0.48","0.08"
"19/11/2021 17:19:53","CNHJIFXRMJ","RDS.A","Buy","0.782889426","43.37","33.95","USD","","","33.95",""
"19/11/2021 17:19:41","NNWFBYTYVZ","USD","Conversion","","","33.95","USD","0.88363","","33.95",""
"19/11/2021 17:19:41","NNWFBYTYVZ","EUR","Conversion","","","-30.00","EUR","1.13170","","-30.00",""
"19/11/2021 16:32:09","XPVDXSDI8Q","LYB","Buy","0.425713643","88.98","37.88","USD","","","37.88",""
"19/11/2021 16:30:58","KXILKWQWI4","DOW","Buy","1.000000000","56.56","56.56","USD","","","56.56",""
"19/11/2021 16:30:50","OPXQKXYVFL","USD","Conversion","","","84.89","USD","0.88347","","84.89",""
"19/11/2021 16:30:50","OPXQKXYVFL","EUR","Conversion","","","-75.00","EUR","1.13190","","-75.00",""
"19/11/2021 16:29:54","DUIWEZNCMV","MRK","Buy","0.230000000","81.26","18.69","USD","","","18.69",""
"19/11/2021 16:28:25","6YUV3L6TCQ","STT","Buy","0.390000000","94.25","36.76","USD","","","36.76",""
"19/11/2021 16:27:43","M46JHCAWW8","VTR","Buy","0.330000000","51.72","17.07","USD","","","17.07",""
"19/11/2021 16:26:50","GUALYRXSFY","PPL","Buy","2.000000000","28.08","56.16","USD","","","56.16",""
"19/11/2021 16:26:06","KBBSEXOALQ","PRU","Buy","0.400000000","106.99","42.79","USD","","","42.79",""
"19/11/2021 14:58:08","MEMICHO4FR","ASML","Buy","0.001160153","861.96","1.00","USD","","","1.00",""
"19/11/2021 14:57:30","GIELAWJMU3","LCID","Buy","0.020050125","49.88","1.00","USD","","","1.00",""
"19/11/2021 14:57:19","UAYCZPPRD3","TSLA","Buy","0.000907675","1101.72","1.00","USD","","","1.00",""
"19/11/2021 14:57:06","HUQRWA1ZNM","RIVN","Buy","0.007538635","132.65","1.00","USD","","","1.00",""
"19/11/2021 11:03:50","PYN4PJSXPS","EUR","Conversion","","","500.00","EUR","1.13001","","500.00",""
"19/11/2021 11:03:50","PYN4PJSXPS","USD","Conversion","","","-565.00","USD","0.88495","","-565.00",""
